pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,832.3899731610996
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,841.3001965889023
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,864.105605315574
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,855.2937248402205
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,834.7993084619908
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,830.2184230455658
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,836.5148237555551
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,855.7865018463114
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,861.1373987477089
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,859.8872448743592
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,846.3953598238002
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,835.1539013672023
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,831.4351010500999
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,835.0246332652218
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,846.889265861009
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,862.0445317158548
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,858.877999187334
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,845.7345008523348
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,835.2702475256849
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,832.2477874638712
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,835.6578896871715
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,846.286376687933
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,860.1644594229508
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,859.9257338295779
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,845.6530437089491
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,833.6236666491286
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,833.2956368803756
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,833.9021132552119
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,842.8123540915383
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,855.9557468995453
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,853.866100278928
